Price,ID,Address,Bathrooms,Bedrooms,Size/Area,Purpose,Type,Real State Agency,Real State Agent Name
PKR7.9 Crore,34881234,"DHA Phase 6, DHA Defence, Karachi, Sindh",4,5,300 Sq. Yd.,For Sale,House,Bukhari Properties,Bukhari Properties  Builders
PKR1.88 Crore,38292537,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,150 Sq. Yd.,For Sale,House,Rohan Real Estate,Gul Ahmed
PKR2.3 Crore,37292645,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,House,Z & A Real Estate & Builders,Asim Khaliq
PKR12.99 Crore,38291342,"DHA Phase 5, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Safeway Estate & Builders,Sikandar Minhas Zubair Khan
PKR95 Lakh,37930847,"Bahria Greens, Bahria Town Karachi, Karachi, Sindh",3,3,75 Sq. Yd.,For Sale,House,Al Waiz Group,Aamir Shahzad Waiz
PKR74 Lakh,8142081,"Bahria Town Karachi, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,Flat,ALI SAQLAIN Real Estate & Builders,ALI SAQLAIN Real Estate & Builders
PKR3.8 Crore,7383229,"Lakhani Presidency, Rashid Minhas Road, Karachi, Sindh",3,4,267 Sq. Yd.,For Sale,Flat,Urban Properties Pk,Daniyal Lashkarwala
PKR8.1 Crore,38173876,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,5,500 Sq. Yd.,For Sale,House,Property Zone,Humayun
PKR10.5 Crore,37840607,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,6,500 Sq. Yd.,For Sale,House,CITI Associates,Naveed Zafar
PKR1.6 Crore,Portion 37880304,"North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Lower Portion,Faha Enterprises,Owais Rizvi
PKR6.5 Crore,8294351,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,3,233 Sq. Yd.,For Sale,Flat,H&S Real Estate,Waqas Baig
PKR7.75 Crore,35055004,"DHA Phase 4, DHA Defence, Karachi, Sindh",6,6,300 Sq. Yd.,For Sale,House,Mian International,Mian International
PKR2.1 Crore,35877216,"Shah Faisal Town, Karachi, Sindh",6,5,120 Sq. Yd,For Sale,House,Asasa Estate,Noman Ikram
PKR1.55 Crore,35133476,"Model Colony - Malir, Malir, Karachi, Sindh",4,4,100 Sq. Yd,For Sale,House,Asasa Estate,Ashfaq Mughal
PKR1.3 Crore,37215067,"Model Colony - Malir, Malir, Karachi, Sindh",2,3,100 Sq. Yd,For Sale,House,Asasa Estate,Ashfaq Mughal
PKR2.05 Crore,37215061,"Model Colony - Malir, Malir, Karachi, Sindh",4,5,135 Sq. Yd.,For Sale,House,Asasa Estate,Ashfaq Mughal
PKR2.35 Crore,37215059,"Model Colony - Malir, Malir, Karachi, Sindh",4,5,120 Sq. Yd,For Sale,House,Asasa Estate,Ashfaq Mughal
PKR1.45 Crore,6220533,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,183 Sq. Yd.,For Sale,Flat,Na,Na
PKR3.75 Crore,37029619,"Model Colony - Malir, Malir, Karachi, Sindh",7,8,240 Sq. Yd.,For Sale,House,Asasa Estate,Ashfaq Mughal
PKR91 Lakh,8295797,"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd,For Sale,Flat,Na,Na
PKR2 Crore,8295798,"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",3,3,250 Sq. Yd.,For Sale,Flat,Na,Na
PKR2.5 Crore,8295800,"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",4,4,328 Sq. Yd.,For Sale,Flat,Na,Na
PKR91 Lakh,8295801,"Bahria Town - Precinct 19, Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd,For Sale,Flat,Na,Na
PKR1.1 Crore,8295802,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR7.5 Crore,8130916,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,6,467 Sq. Yd.,For Sale,Flat,Oxford Real Estate Management Services,Oxrems Ikhlas Ahmed
PKR6.25 Crore,38275275,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,7,375 Sq. Yd.,For Sale,House,Ahmed Real Estate,Ahtesham Ud Din
PKR40 Lakh,7784108,"Al-Jadeed Residency, Gadap Town, Karachi, Sindh",2,2,83 Sq. Yd.,For Sale,Flat,Al Jadeed Properties,"Junaid, Ali Asif"
